Date,Close
1993/1/4,3310
1993/2/1,3370.81
1993/3/1,3435.11
1993/3/31,3435.11
1993/4/1,3427.55
1993/5/3,3527.43
1993/6/1,3516.08
1993/7/1,3539.47
1993/8/2,3651.25
1993/9/1,3555.12
1993/10/1,3680.59
1993/11/1,3683.95
1993/12/1,3754.09
1994/1/3,3978.36
1994/2/1,3832.02
1994/3/1,3635.96
1994/4/4,3681.69
1994/5/2,3758.37
1994/6/1,3624.96
1994/7/1,3764.5
1994/8/1,3913.42
1994/9/1,3843.19
1994/10/3,3908.12
1994/11/1,3739.23
1994/12/1,3834.44
1995/1/3,3843.86
1995/2/1,4011.05
1995/3/1,4157.69
1995/4/3,4321.27
1995/5/1,4465.14
1995/6/1,4556.1
1995/7/3,4708.47
1995/8/1,4610.56
1995/9/1,4789.08
1995/10/2,4755.48
1995/11/1,5074.49
1995/12/1,5117.12
1996/1/2,5395.3
1996/2/1,5485.62
1996/3/1,5587.14
1996/4/1,5569.08
1996/5/1,5643.18
1996/6/3,5654.63
1996/7/1,5528.91
1996/8/1,5616.21
1996/9/3,5882.17
1996/10/1,6029.38
1996/11/1,6521.7
1996/12/2,6448.27
1997/1/2,6813.09
1997/2/3,6877.74
1997/3/3,6583.48
1997/4/1,7009
1997/5/1,7331
1997/6/2,7672.8
1997/7/1,8222.6
1997/8/1,7622.4
1997/9/2,7945.3
1997/10/1,7442.1
1997/11/3,7823.1
1997/12/1,7908.3
1998/1/2,7906.5
1998/2/2,8545.72
1998/3/2,8799.81
1998/4/1,9063.37
1998/5/1,8899.95
1998/6/1,8952.02
1998/7/1,8883.29
1998/8/3,7539.07
1998/9/1,7842.62
1998/9/30,7842.62
1998/10/1,8592.1
1998/11/2,9116.55
1998/12/1,9181.43
1999/1/4,9358.83
1999/2/1,9306.58
1999/3/1,9786.16
1999/4/1,10789.04
1999/5/3,10559.74
1999/6/1,10970.8
1999/7/1,10655.15
1999/8/2,10829.28
1999/9/1,10336.95
1999/10/1,10729.86
1999/11/1,10877.81
